component_id,lot_id,component_type,parameter,value_0h_uA,value_24h_uA,value_96h_uA,value_168h_uA,datasheet_limit_uA,ground_truth_class
C00028,L028,Type_C,leakage_current,9.212,9.413,10.011,10.653,50.0,Healthy
C00029,L029,Type_A,leakage_current,10.915,11.167,11.608,12.001,50.0,Healthy
C00030,L030,Type_A,leakage_current,8.861,8.98,9.438,10.06,50.0,Healthy
C00031,L031,Type_A,leakage_current,9.969,10.022,10.737,11.535,50.0,Healthy
C00032,L032,Type_A,leakage_current,10.611,10.869,11.693,12.328,50.0,Healthy
C00033,L033,Type_A,leakage_current,9.839,10.117,11.328,12.21,50.0,Healthy
C00034,L034,Type_A,leakage_current,9.711,9.975,11.015,11.766,50.0,Healthy
C00035,L035,Type_B,leakage_current,10.074,10.294,11.015,11.572,50.0,Healthy
C00036,L036,Type_B,leakage_current,10.799,10.98,11.334,11.715,50.0,Healthy
C00037,L037,Type_B,leakage_current,10.357,10.698,11.62,12.28,50.0,Healthy
C00038,L038,Type_A,leakage_current,9.249,9.354,9.862,10.4,50.0,Healthy
C00039,L039,Type_A,leakage_current,9.719,10.026,10.405,11.204,50.0,Healthy
C00040,L040,Type_A,leakage_current,11.216,11.37,11.593,12.333,50.0,Healthy
C00041,L041,Type_B,leakage_current,11.208,11.424,11.664,11.993,50.0,Healthy
C00042,L042,Type_B,leakage_current,11.586,11.805,12.684,13.501,50.0,Healthy
C00043,L043,Type_B,leakage_current,9.453,9.678,10.155,10.685,50.0,Healthy
C00044,L044,Type_A,leakage_current,9.857,10.023,10.429,10.657,50.0,Healthy
C00045,L045,Type_A,leakage_current,9.012,9.213,9.854,10.297,50.0,Healthy
C00046,L046,Type_A,leakage_current,9.272,9.675,10.098,10.813,50.0,Healthy
C00047,L047,Type_C,leakage_current,9.759,10.082,10.671,11.631,50.0,Healthy
C00048,L048,Type_B,leakage_current,10.201,10.485,11.553,12.41,50.0,Healthy
C00049,L049,Type_A,leakage_current,10.698,10.682,11.105,11.332,50.0,Healthy
C00050,L050,Type_B,leakage_current,11.006,11.034,11.192,11.515,50.0,Healthy
C00051,L051,Type_A,leakage_current,9.591,9.591,10.063,10.611,50.0,Healthy
C00052,L052,Type_A,leakage_current,10.609,12.611,25.549,37.744,50.0,Latent_Defect
C00053,L053,Type_A,leakage_current,10.431,10.606,11.445,12.042,50.0,Healthy
C00054,L054,Type_A,leakage_current,9.794,9.866,10.56,11.17,50.0,Healthy
C00055,L055,Type_A,leakage_current,9.513,9.763,10.254,10.116,50.0,Healthy
C00056,L056,Type_A,leakage_current,11.065,11.249,12.014,12.789,50.0,Healthy
C00057,L057,Type_B,leakage_current,10.635,13.986,41.351,68.593,50.0,Rapid_Drift
C00058,L058,Type_A,leakage_current,9.747,10.119,10.842,11.92,50.0,Healthy
C00059,L059,Type_B,leakage_current,10.92,11.105,11.873,12.575,50.0,Healthy
C00060,L060,Type_B,leakage_current,10.542,10.701,11.241,11.661,50.0,Healthy
C00061,L061,Type_A,leakage_current,11.307,11.63,12.03,12.311,50.0,Healthy
C00062,L062,Type_B,leakage_current,9.852,10.069,10.429,10.686,50.0,Healthy
C00063,L063,Type_A,leakage_current,11.283,11.667,11.92,12.376,50.0,Healthy
C00064,L064,Type_B,leakage_current,11.24,19.78,45.464,70.574,50.0,Obvious_Failure
C00065,L065,Type_A,leakage_current,9.872,10.068,10.591,11.172,50.0,Healthy
C00066,L066,Type_B,leakage_current,10.327,14.141,37.975,61.863,50.0,Rapid_Drift
C00067,L067,Type_A,leakage_current,10.619,11.032,11.918,12.635,50.0,Healthy
C00068,L068,Type_C,leakage_current,10.034,10.262,10.895,11.23,50.0,Healthy
C00069,L069,Type_B,leakage_current,11.739,12.017,12.389,13.101,50.0,Healthy
C00070,L070,Type_C,leakage_current,9.569,9.68,9.913,10.337,50.0,Healthy
C00071,L071,Type_A,leakage_current,10.517,13.642,38.796,63.961,50.0,Rapid_Drift
C00072,L072,Type_A,leakage_current,9.518,9.533,10.1,10.617,50.0,Healthy
C00073,L073,Type_A,leakage_current,8.786,8.995,9.598,10.275,50.0,Healthy
C00074,L074,Type_B,leakage_current,10.536,11.876,29.658,43.636,50.0,Latent_Defect
C00075,L075,Type_B,leakage_current,10.311,10.521,11.334,12.092,50.0,Healthy
C00076,L076,Type_B,leakage_current,11.197,11.558,12.541,13.515,50.0,Healthy
C00077,L077,Type_B,leakage_current,10.939,11.282,11.84,12.756,50.0,Healthy
C00078,L078,Type_B,leakage_current,11.602,18.99,40.29,62.067,50.0,Obvious_Failure
C00079,L079,Type_A,leakage_current,10.388,10.835,11.626,12.337,50.0,Healthy
C00080,L080,Type_B,leakage_current,10.518,10.634,11.32,11.707,50.0,Healthy
C00081,L081,Type_A,leakage_current,9.455,9.76,10.655,11.661,50.0,Healthy
C00082,L082,Type_A,leakage_current,10.072,10.214,10.541,10.754,50.0,Healthy
C00083,L083,Type_B,leakage_current,10.627,10.967,11.701,12.743,50.0,Healthy
C00084,L084,Type_B,leakage_current,10.543,10.625,11.499,12.088,50.0,Healthy
C00085,L085,Type_A,leakage_current,10.972,10.992,11.681,12.153,50.0,Healthy
C00086,L086,Type_B,leakage_current,10.648,10.785,11.864,12.641,50.0,Healthy
C00087,L087,Type_C,leakage_current,8.695,8.927,9.413,9.983,50.0,Healthy
C00088,L088,Type_C,leakage_current,8.782,9.079,9.722,10.369,50.0,Healthy
C00089,L089,Type_C,leakage_current,10.447,10.582,11.075,11.797,50.0,Healthy
C00090,L090,Type_A,leakage_current,10.349,10.581,11.105,11.508,50.0,Healthy
C00091,L091,Type_A,leakage_current,9.252,9.416,9.746,9.639,50.0,Healthy
C00092,L092,Type_B,leakage_current,10.575,12.395,29.8,39.336,50.0,Latent_Defect
C00093,L093,Type_B,leakage_current,9.665,9.74,10.256,10.785,50.0,Healthy
C00094,L094,Type_A,leakage_current,10.777,11.201,12.301,13.19,50.0,Healthy
C00095,L095,Type_A,leakage_current,10.36,10.524,11.3,12.175,50.0,Healthy
C00096,L096,Type_C,leakage_current,8.862,9.151,9.928,10.891,50.0,Healthy
C00097,L097,Type_A,leakage_current,9.15,9.059,9.782,10.132,50.0,Healthy
C00098,L098,Type_A,leakage_current,10.293,10.629,11.281,11.834,50.0,Healthy
C00099,L099,Type_A,leakage_current,10.208,10.626,11.362,12.296,50.0,Healthy
C00100,L100,Type_A,leakage_current,9.717,9.998,10.838,11.107,50.0,Healthy
C00101,L001,Type_A,leakage_current,9.33,9.532,10.497,10.96,50.0,Healthy
C00102,L002,Type_A,leakage_current,9.992,12.786,36.196,58.706,50.0,Rapid_Drift
C00103,L003,Type_C,leakage_current,9.811,9.893,10.241,10.338,50.0,Healthy
C00104,L004,Type_A,leakage_current,9.963,9.983,10.413,10.811,50.0,Healthy
C00105,L005,Type_A,leakage_current,9.617,18.746,46.037,72.545,50.0,Obvious_Failure
C00106,L006,Type_A,leakage_current,9.588,9.904,10.723,11.315,50.0,Healthy
C00107,L007,Type_B,leakage_current,10.695,10.851,11.695,12.427,50.0,Healthy
C00108,L008,Type_B,leakage_current,10.696,10.884,11.771,12.671,50.0,Healthy
C00109,L009,Type_A,leakage_current,9.874,11.036,29.196,40.407,50.0,Latent_Defect
C00110,L010,Type_A,leakage_current,9.477,9.734,10.198,10.69,50.0,Healthy
C00111,L011,Type_A,leakage_current,9.517,9.804,10.431,11.116,50.0,Healthy
C00112,L012,Type_B,leakage_current,10.601,10.791,11.391,12.147,50.0,Healthy
C00113,L013,Type_A,leakage_current,9.058,9.144,9.403,9.788,50.0,Healthy
C00114,L014,Type_A,leakage_current,10.926,12.805,32.594,44.233,50.0,Latent_Defect
C00115,L015,Type_A,leakage_current,10.315,11.627,27.281,42.614,50.0,Latent_Defect
C00116,L016,Type_A,leakage_current,9.14,9.364,10.211,11.017,50.0,Healthy
C00117,L017,Type_C,leakage_current,9.786,9.858,10.725,11.443,50.0,Healthy
C00118,L018,Type_A,leakage_current,10.711,10.94,11.252,11.794,50.0,Healthy
C00119,L019,Type_B,leakage_current,10.972,10.906,11.266,11.533,50.0,Healthy
C00120,L020,Type_A,leakage_current,10.589,10.652,10.916,11.586,50.0,Healthy
C00121,L021,Type_A,leakage_current,9.646,13.327,36.542,60.053,50.0,Rapid_Drift
C00122,L022,Type_B,leakage_current,10.709,10.877,11.43,11.743,50.0,Healthy
C00123,L023,Type_B,leakage_current,11.341,11.311,11.619,11.621,50.0,Healthy
C00124,L024,Type_B,leakage_current,11.112,11.392,12.153,12.683,50.0,Healthy
C00125,L025,Type_A,leakage_current,10.35,10.334,10.675,11.073,50.0,Healthy
C00126,L026,Type_B,leakage_current,11.542,11.534,11.877,12.344,50.0,Healthy
C00127,L027,Type_B,leakage_current,10.354,10.602,11.297,11.894,50.0,Healthy
C00128,L028,Type_B,leakage_current,10.251,10.138,10.569,11.084,50.0,Healthy
C00129,L029,Type_A,leakage_current,9.654,14.139,28.854,43.217,50.0,Obvious_Failure
C00130,L030,Type_C,leakage_current,10.107,16.128,34.539,52.792,50.0,Obvious_Failure
C00131,L031,Type_A,leakage_current,9.499,9.772,10.353,10.988,50.0,Healthy
C00132,L032,Type_B,leakage_current,11.092,11.26,11.774,12.189,50.0,Healthy
C00133,L033,Type_A,leakage_current,10.99,11.409,12.069,12.836,50.0,Healthy
C00134,L034,Type_A,leakage_current,10.965,11.006,11.686,12.424,50.0,Healthy
C00135,L035,Type_B,leakage_current,11.621,11.741,12.412,12.922,50.0,Healthy
C00136,L036,Type_A,leakage_current,10.647,11.066,11.721,12.483,50.0,Healthy
C00137,L037,Type_A,leakage_current,9.325,11.859,36.217,60.618,50.0,Rapid_Drift
C00138,L038,Type_A,leakage_current,9.625,9.985,10.27,10.873,50.0,Healthy
C00139,L039,Type_A,leakage_current,10.541,10.701,10.972,11.101,50.0,Healthy
C00140,L040,Type_C,leakage_current,9.685,12.668,30.633,48.515,50.0,Rapid_Drift
C00141,L041,Type_C,leakage_current,8.903,9.034,9.226,9.486,50.0,Healthy
C00142,L042,Type_A,leakage_current,9.388,12.719,31.235,49.71,50.0,Rapid_Drift
C00143,L043,Type_C,leakage_current,8.241,10.135,26.713,40.828,50.0,Latent_Defect
C00144,L044,Type_A,leakage_current,10.02,10.19,10.526,10.892,50.0,Healthy
C00145,L045,Type_A,leakage_current,9.679,10.087,10.654,11.191,50.0,Healthy
C00146,L046,Type_B,leakage_current,11.805,11.766,11.914,12.538,50.0,Healthy
C00147,L047,Type_C,leakage_current,9.986,9.937,10.16,10.553,50.0,Healthy
C00148,L048,Type_B,leakage_current,11.342,11.388,11.737,12.253,50.0,Healthy
C00149,L049,Type_A,leakage_current,9.972,10.295,11.162,12.002,50.0,Healthy
C00150,L050,Type_B,leakage_current,11.256,11.484,11.514,11.795,50.0,Healthy
C00151,L051,Type_A,leakage_current,9.462,9.368,10.1,10.772,50.0,Healthy
C00152,L052,Type_A,leakage_current,11.109,11.277,11.529,11.779,50.0,Healthy
C00153,L053,Type_B,leakage_current,10.276,12.588,32.245,44.905,50.0,Latent_Defect
C00154,L054,Type_A,leakage_current,8.887,8.89,9.136,9.618,50.0,Healthy
C00155,L055,Type_B,leakage_current,10.03,10.08,10.933,11.554,50.0,Healthy
C00156,L056,Type_A,leakage_current,8.998,9.166,9.813,10.709,50.0,Healthy
C00157,L057,Type_B,leakage_current,11.668,11.902,12.55,13.055,50.0,Healthy
C00158,L058,Type_A,leakage_current,9.603,9.791,9.732,9.962,50.0,Healthy
C00159,L059,Type_A,leakage_current,9.564,9.71,10.25,11.151,50.0,Healthy
C00160,L060,Type_A,leakage_current,8.576,8.848,9.421,9.923,50.0,Healthy
C00161,L061,Type_A,leakage_current,9.332,9.487,10.301,11.31,50.0,Healthy
C00162,L062,Type_A,leakage_current,9.571,9.547,10.506,11.05,50.0,Healthy
C00163,L063,Type_A,leakage_current,10.29,10.546,10.96,11.508,50.0,Healthy
C00164,L064,Type_B,leakage_current,10.842,10.979,11.154,11.477,50.0,Healthy
C00165,L065,Type_B,leakage_current,9.654,9.953,10.512,11.238,50.0,Healthy
C00166,L066,Type_B,leakage_current,11.117,11.484,11.965,12.262,50.0,Healthy
C00167,L067,Type_A,leakage_current,9.891,10.252,10.96,11.603,50.0,Healthy
C00168,L068,Type_B,leakage_current,9.593,9.693,10.009,10.404,50.0,Healthy
C00169,L069,Type_A,leakage_current,9.167,9.258,9.795,10.512,50.0,Healthy
C00170,L070,Type_B,leakage_current,11.218,11.238,11.843,12.448,50.0,Healthy
C00171,L071,Type_A,leakage_current,10.932,11.127,12.207,13.006,50.0,Healthy
C00172,L072,Type_A,leakage_current,10.217,10.294,11.077,11.79,50.0,Healthy
C00173,L073,Type_A,leakage_current,10.355,10.371,10.769,10.959,50.0,Healthy
C00174,L074,Type_B,leakage_current,11.158,13.686,33.783,54.669,50.0,Rapid_Drift
C00175,L075,Type_B,leakage_current,11.073,16.778,34.488,51.881,50.0,Obvious_Failure
C00176,L076,Type_A,leakage_current,9.152,9.527,10.182,10.913,50.0,Healthy
C00177,L077,Type_A,leakage_current,8.897,9.101,10.249,11.059,50.0,Healthy
C00178,L078,Type_A,leakage_current,9.934,10.028,10.209,10.429,50.0,Healthy
C00179,L079,Type_A,leakage_current,10.586,10.889,11.572,12.535,50.0,Healthy
C00180,L080,Type_A,leakage_current,9.635,9.76,10.276,10.794,50.0,Healthy
C00181,L081,Type_C,leakage_current,9.618,10.144,10.673,11.657,50.0,Healthy
C00182,L082,Type_A,leakage_current,10.602,10.764,11.301,11.607,50.0,Healthy
C00183,L083,Type_A,leakage_current,9.625,9.632,10.074,10.796,50.0,Healthy
C00184,L084,Type_C,leakage_current,9.05,8.993,9.697,10.598,50.0,Healthy
C00185,L085,Type_A,leakage_current,10.051,11.327,28.366,44.812,50.0,Latent_Defect
C00186,L086,Type_A,leakage_current,10.566,10.808,11.5,11.783,50.0,Healthy
C00187,L087,Type_A,leakage_current,10.057,15.007,30.373,45.886,50.0,Obvious_Failure
C00188,L088,Type_C,leakage_current,8.845,9.147,9.62,10.215,50.0,Healthy
C00189,L089,Type_A,leakage_current,10.679,10.887,11.753,12.216,50.0,Healthy
C00190,L090,Type_A,leakage_current,9.692,9.933,10.206,10.547,50.0,Healthy
C00191,L091,Type_A,leakage_current,9.761,9.673,9.589,9.899,50.0,Healthy
C00192,L092,Type_B,leakage_current,9.592,9.985,10.939,11.514,50.0,Healthy
C00193,L093,Type_C,leakage_current,10.318,10.822,11.431,12.084,50.0,Healthy
C00194,L094,Type_C,leakage_current,8.786,8.889,9.594,10.102,50.0,Healthy
C00195,L095,Type_C,leakage_current,9.721,9.875,10.548,11.663,50.0,Healthy
C00196,L096,Type_A,leakage_current,10.162,10.223,10.513,10.799,50.0,Healthy
C00197,L097,Type_A,leakage_current,9.758,9.812,10.294,10.988,50.0,Healthy
C00198,L098,Type_A,leakage_current,9.544,9.65,10.139,10.569,50.0,Healthy
C00199,L099,Type_B,leakage_current,11.16,11.41,11.961,12.305,50.0,Healthy
C00200,L100,Type_A,leakage_current,9.691,9.651,10.174,10.443,50.0,Healthy
C00201,L001,Type_A,leakage_current,9.359,9.43,10.176,10.95,50.0,Healthy
C00202,L002,Type_C,leakage_current,8.228,8.446,8.996,9.499,50.0,Healthy
C00203,L003,Type_B,leakage_current,10.877,11.112,11.56,12.105,50.0,Healthy
C00204,L004,Type_C,leakage_current,10.139,10.349,11.259,11.997,50.0,Healthy
C00205,L005,Type_B,leakage_current,11.213,11.422,12.079,12.424,50.0,Healthy
C00206,L006,Type_C,leakage_current,8.869,8.978,9.895,10.447,50.0,Healthy
C00207,L007,Type_A,leakage_current,9.944,10.05,10.303,10.581,50.0,Healthy
C00208,L008,Type_A,leakage_current,9.916,9.94,10.488,10.987,50.0,Healthy
C00209,L009,Type_A,leakage_current,10.556,10.743,11.241,11.558,50.0,Healthy
C00210,L010,Type_B,leakage_current,11.74,12.101,12.998,13.626,50.0,Healthy
C00211,L011,Type_A,leakage_current,9.902,9.957,10.495,10.887,50.0,Healthy
C00212,L012,Type_A,leakage_current,9.047,9.095,9.444,9.94,50.0,Healthy
C00213,L013,Type_C,leakage_current,8.937,10.205,25.679,39.703,50.0,Latent_Defect
C00214,L014,Type_A,leakage_current,10.68,10.764,11.099,11.889,50.0,Healthy
C00215,L015,Type_A,leakage_current,9.925,10.029,10.71,11.358,50.0,Healthy
C00216,L016,Type_A,leakage_current,9.214,9.321,9.857,10.574,50.0,Healthy
C00217,L017,Type_A,leakage_current,10.007,10.179,10.582,10.895,50.0,Healthy
C00218,L018,Type_A,leakage_current,10.222,10.529,11.344,11.994,50.0,Healthy
C00219,L019,Type_A,leakage_current,8.79,8.901,9.32,9.549,50.0,Healthy
C00220,L020,Type_A,leakage_current,10.235,10.219,11.028,11.513,50.0,Healthy
C00221,L021,Type_B,leakage_current,10.49,10.656,11.41,11.7,50.0,Healthy
C00222,L022,Type_A,leakage_current,9.712,11.844,29.661,38.102,50.0,Latent_Defect
C00223,L023,Type_A,leakage_current,11.345,11.609,12.066,12.549,50.0,Healthy
C00224,L024,Type_A,leakage_current,10.492,10.838,11.197,11.617,50.0,Healthy
C00225,L025,Type_C,leakage_current,9.124,9.247,10.28,11.363,50.0,Healthy
C00226,L026,Type_A,leakage_current,10.566,10.86,11.561,12.263,50.0,Healthy
C00227,L027,Type_C,leakage_current,9.388,9.608,10.163,10.709,50.0,Healthy
C00228,L028,Type_A,leakage_current,9.254,9.576,10.177,10.551,50.0,Healthy
C00229,L029,Type_C,leakage_current,10.407,10.825,11.353,11.877,50.0,Healthy
C00230,L030,Type_A,leakage_current,10.458,10.891,11.813,12.931,50.0,Healthy
C00231,L031,Type_A,leakage_current,10.592,10.856,11.479,11.97,50.0,Healthy
C00232,L032,Type_A,leakage_current,10.841,12.45,30.073,40.691,50.0,Latent_Defect
C00233,L033,Type_A,leakage_current,10.098,10.299,10.587,10.747,50.0,Healthy
C00234,L034,Type_B,leakage_current,11.161,11.386,11.999,12.748,50.0,Healthy
C00235,L035,Type_B,leakage_current,11.967,12.004,12.755,13.127,50.0,Healthy
C00236,L036,Type_B,leakage_current,11.025,12.193,31.58,41.14,50.0,Latent_Defect
C00237,L037,Type_B,leakage_current,10.848,12.11,25.507,38.395,50.0,Latent_Defect
C00238,L038,Type_A,leakage_current,9.244,9.386,10.072,10.603,50.0,Healthy
C00239,L039,Type_A,leakage_current,8.393,8.627,9.311,9.82,50.0,Healthy
C00240,L040,Type_A,leakage_current,8.814,12.532,40.819,68.697,50.0,Rapid_Drift
C00241,L041,Type_A,leakage_current,9.912,10.133,10.923,11.391,50.0,Healthy
C00242,L042,Type_A,leakage_current,10.546,10.643,11.746,12.929,50.0,Healthy
C00243,L043,Type_C,leakage_current,8.319,8.878,9.996,10.619,50.0,Healthy
C00244,L044,Type_A,leakage_current,9.982,12.887,39.689,66.607,50.0,Rapid_Drift
C00245,L045,Type_B,leakage_current,10.103,10.281,11.169,11.402,50.0,Healthy
C00246,L046,Type_A,leakage_current,8.642,10.265,30.572,40.131,50.0,Latent_Defect
C00247,L047,Type_B,leakage_current,10.88,11.175,11.352,12.182,50.0,Healthy
C00248,L048,Type_C,leakage_current,9.347,9.463,10.055,10.696,50.0,Healthy
C00249,L049,Type_A,leakage_current,9.539,9.677,10.27,11.09,50.0,Healthy
C00250,L050,Type_C,leakage_current,9.257,16.237,37.204,58.788,50.0,Obvious_Failure
C00251,L051,Type_A,leakage_current,9.337,9.425,10.184,10.731,50.0,Healthy
C00252,L052,Type_A,leakage_current,9.472,9.668,10.45,11.523,50.0,Healthy
C00253,L053,Type_A,leakage_current,10.695,10.889,11.752,12.471,50.0,Healthy
C00254,L054,Type_A,leakage_current,10.231,10.266,10.403,10.745,50.0,Healthy
C00255,L055,Type_A,leakage_current,10.086,10.135,10.321,10.427,50.0,Healthy
C00256,L056,Type_A,leakage_current,9.569,9.729,10.594,11.34,50.0,Healthy
C00257,L057,Type_A,leakage_current,9.891,10.226,10.751,11.097,50.0,Healthy
C00258,L058,Type_B,leakage_current,11.8,11.813,12.354,13.18,50.0,Healthy
C00259,L059,Type_C,leakage_current,10.009,9.942,10.34,10.867,50.0,Healthy
C00260,L060,Type_B,leakage_current,10.769,11.063,11.34,11.487,50.0,Healthy
C00261,L061,Type_A,leakage_current,9.452,9.603,10.303,10.891,50.0,Healthy
C00262,L062,Type_B,leakage_current,10.37,10.457,10.812,10.931,50.0,Healthy
C00263,L063,Type_B,leakage_current,11.076,11.336,12.094,12.645,50.0,Healthy
C00264,L064,Type_A,leakage_current,10.571,10.661,10.897,11.185,50.0,Healthy
C00265,L065,Type_A,leakage_current,10.601,10.986,11.846,12.766,50.0,Healthy
C00266,L066,Type_B,leakage_current,10.673,10.881,11.019,11.315,50.0,Healthy
C00267,L067,Type_A,leakage_current,10.572,10.782,11.473,11.985,50.0,Healthy
C00268,L068,Type_C,leakage_current,9.939,9.817,10.321,10.882,50.0,Healthy
C00269,L069,Type_B,leakage_current,11.725,11.954,12.622,13.56,50.0,Healthy
C00270,L070,Type_A,leakage_current,9.676,9.925,10.411,10.889,50.0,Healthy
C00271,L071,Type_C,leakage_current,10.781,11.062,11.586,12.242,50.0,Healthy
C00272,L072,Type_A,leakage_current,8.513,8.948,9.932,10.663,50.0,Healthy
C00273,L073,Type_B,leakage_current,9.522,9.578,10.085,10.54,50.0,Healthy
C00274,L074,Type_A,leakage_current,10.686,10.749,11.415,11.881,50.0,Healthy
C00275,L075,Type_A,leakage_current,9.414,9.502,9.808,10.348,50.0,Healthy
C00276,L076,Type_C,leakage_current,9.61,9.875,10.634,11.596,50.0,Healthy
C00277,L077,Type_B,leakage_current,10.865,10.938,11.283,11.813,50.0,Healthy
C00278,L078,Type_A,leakage_current,9.634,9.932,10.693,11.334,50.0,Healthy
C00279,L079,Type_A,leakage_current,10.779,10.606,10.749,10.821,50.0,Healthy
C00280,L080,Type_B,leakage_current,10.542,10.602,10.89,11.039,50.0,Healthy
C00281,L081,Type_A,leakage_current,11.228,11.377,11.854,12.111,50.0,Healthy
C00282,L082,Type_A,leakage_current,10.07,10.378,11.07,11.318,50.0,Healthy
C00283,L083,Type_A,leakage_current,10.264,10.506,11.304,12.293,50.0,Healthy
C00284,L084,Type_A,leakage_current,11.003,11.385,11.923,12.347,50.0,Healthy
C00285,L085,Type_B,leakage_current,10.158,10.504,11.3,12.024,50.0,Healthy
C00286,L086,Type_A,leakage_current,8.533,8.823,9.562,10.225,50.0,Healthy
C00287,L087,Type_A,leakage_current,9.515,9.826,10.455,10.935,50.0,Healthy
C00288,L088,Type_C,leakage_current,9.359,9.554,9.928,10.48,50.0,Healthy
C00289,L089,Type_B,leakage_current,11.02,11.261,12.041,12.658,50.0,Healthy
C00290,L090,Type_B,leakage_current,9.379,9.489,9.61,10.087,50.0,Healthy
C00291,L091,Type_B,leakage_current,11.034,11.259,11.82,12.659,50.0,Healthy
C00292,L092,Type_A,leakage_current,10.471,10.621,11.427,12.264,50.0,Healthy
C00293,L093,Type_A,leakage_current,9.987,10.067,10.797,11.415,50.0,Healthy
C00294,L094,Type_A,leakage_current,10.794,10.81,11.602,12.279,50.0,Healthy
C00295,L095,Type_B,leakage_current,10.729,11.115,11.607,11.92,50.0,Healthy
C00296,L096,Type_A,leakage_current,9.619,9.787,10.369,10.598,50.0,Healthy
C00297,L097,Type_A,leakage_current,9.858,9.933,10.171,10.561,50.0,Healthy
C00298,L098,Type_C,leakage_current,8.766,8.938,9.775,10.083,50.0,Healthy
C00299,L099,Type_C,leakage_current,8.485,8.622,9.243,9.579,50.0,Healthy
C00300,L100,Type_A,leakage_current,10.956,12.887,27.996,40.329,50.0,Latent_Defect
C00301,L001,Type_B,leakage_current,11.002,11.088,12.003,12.891,50.0,Healthy
C00302,L002,Type_A,leakage_current,10.034,12.595,26.894,41.155,50.0,Latent_Defect
C00303,L003,Type_A,leakage_current,9.929,10.388,11.361,12.245,50.0,Healthy
C00304,L004,Type_A,leakage_current,9.823,9.814,10.319,10.888,50.0,Healthy
C00305,L005,Type_B,leakage_current,11.067,13.868,34.648,55.48,50.0,Rapid_Drift
C00306,L006,Type_A,leakage_current,8.967,12.097,37.765,63.748,50.0,Rapid_Drift
C00307,L007,Type_A,leakage_current,9.973,9.769,10.343,10.643,50.0,Healthy
C00308,L008,Type_C,leakage_current,9.808,10.133,10.965,11.692,50.0,Healthy
C00309,L009,Type_B,leakage_current,10.502,14.336,43.067,71.948,50.0,Rapid_Drift
C00310,L010,Type_B,leakage_current,11.583,11.749,12.615,13.404,50.0,Healthy
C00311,L011,Type_A,leakage_current,9.506,9.861,10.424,11.089,50.0,Healthy
C00312,L012,Type_C,leakage_current,8.776,9.161,10.171,10.651,50.0,Healthy
C00313,L013,Type_C,leakage_current,8.842,8.943,9.498,10.355,50.0,Healthy
C00314,L014,Type_C,leakage_current,8.22,10.491,30.018,41.212,50.0,Latent_Defect
C00315,L015,Type_A,leakage_current,10.911,11.143,11.839,12.249,50.0,Healthy
C00316,L016,Type_A,leakage_current,7.598,7.486,7.733,8.3,50.0,Healthy
C00317,L017,Type_B,leakage_current,12.058,13.836,30.635,44.027,50.0,Latent_Defect
C00318,L018,Type_A,leakage_current,10.73,12.31,29.245,41.139,50.0,Latent_Defect
